[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
[sound:s8-1018_商品の数量を増やす必要があります。.mp3]	<b>(数量)</b> <br> 商品の数量を増やす必要があります。<br> しょうひんのすうりょうをふやすひつようがあります。 <br> We need to increase the quantity of the products.			
<b>(数量)</b> <br> 商品の数量を増やす必要があります。	[sound:s8-1018_商品の数量を増やす必要があります。.mp3] <br> しょうひんのすうりょうをふやすひつようがあります。 <br> We need to increase the quantity of the products.			
[sound:k8-1019_財団.mp3]	財団 <br> ざいだん <br> foundation
foundation	財団 <br> ざいだん <br> [sound:k8-1019_財団.mp3]
財団	[sound:k8-1019_財団.mp3] <br> ざいだん <br> foundation
[sound:s8-1019_総量が増加しています。.mp3]	<b>(総量)</b> <br> 総量が増加しています。<br> そうりょうがぞうかしています。 <br> The total amount is increasing.			
<b>(総量)</b> <br> 総量が増加しています。	[sound:s8-1019_総量が増加しています。.mp3] <br> そうりょうがぞうかしています。 <br> The total amount is increasing.			
[sound:k8-1020_財団法人.mp3]	財団法人 <br> ざいだんほうじん <br> incorporated foundation, juridical foundation
incorporated foundation, juridical foundation	財団法人 <br> ざいだんほうじん <br> [sound:k8-1020_財団法人.mp3]
財団法人	[sound:k8-1020_財団法人.mp3] <br> ざいだんほうじん <br> incorporated foundation, juridical foundation
[sound:s8-1020_そのプロジェクトには裁量が与えられています。.mp3]	<b>(裁量)</b> <br> そのプロジェクトには裁量が与えられています。<br> そのぷろじぇくとにはさいりょうがあたえられています。 <br> The project has been given discretion.			
<b>(裁量)</b> <br> そのプロジェクトには裁量が与えられています。	[sound:s8-1020_そのプロジェクトには裁量が与えられています。.mp3] <br> そのぷろじぇくとにはさいりょうがあたえられています。 <br> The project has been given discretion.			
[sound:k8-1021_財務.mp3]	財務 <br> ざいむ <br> financial affairs
financial affairs	財務 <br> ざいむ <br> [sound:k8-1021_財務.mp3]
財務	[sound:k8-1021_財務.mp3] <br> ざいむ <br> financial affairs
[sound:s8-1021_このカメラは軽量で持ち運びが簡単です。.mp3]	<b>(軽量)</b> <br> このカメラは軽量で持ち運びが簡単です。<br> このかめらはけいりょうでもちはこびがかんたんです。 <br> This camera is lightweight and easy to carry around.			
<b>(軽量)</b> <br> このカメラは軽量で持ち運びが簡単です。	[sound:s8-1021_このカメラは軽量で持ち運びが簡単です。.mp3] <br> このかめらはけいりょうでもちはこびがかんたんです。 <br> This camera is lightweight and easy to carry around.			
[sound:k8-1022_文化財.mp3]	文化財 <br> ぶんかざい <br> cultural assets, cultural property
cultural assets, cultural property	文化財 <br> ぶんかざい <br> [sound:k8-1022_文化財.mp3]
文化財	[sound:k8-1022_文化財.mp3] <br> ぶんかざい <br> cultural assets, cultural property
[sound:s8-1022_この容器の容量は何ですか？.mp3]	<b>(容量)</b> <br> この容器の容量は何ですか？<br> このようきのようりょうはなんですか？ <br> What is the capacity of this container?			
<b>(容量)</b> <br> この容器の容量は何ですか？	[sound:s8-1022_この容器の容量は何ですか？.mp3] <br> このようきのようりょうはなんですか？ <br> What is the capacity of this container?			
[sound:k8-1023_財布.mp3]	財布 <br> さいふ <br> purse, handbag, wallet
purse, handbag, wallet	財布 <br> さいふ <br> [sound:k8-1023_財布.mp3]
財布	[sound:k8-1023_財布.mp3] <br> さいふ <br> purse, handbag, wallet
[sound:s8-1023_ダイエット中には減量が必要です。.mp3]	<b>(減量)</b> <br> ダイエット中には減量が必要です。<br> だいえっとちゅうにはげんりょうがひつようです。 <br> Weight loss is necessary during a diet.			
<b>(減量)</b> <br> ダイエット中には減量が必要です。	[sound:s8-1023_ダイエット中には減量が必要です。.mp3] <br> だいえっとちゅうにはげんりょうがひつようです。 <br> Weight loss is necessary during a diet.			
[sound:k8-1024_港.mp3]	港 <br> (kun: みなと; on: コウ) <br> harbor
harbor	港 <br> (kun: みなと; on: コウ) <br> [sound:k8-1024_港.mp3]
港	[sound:k8-1024_港.mp3] <br> (kun: みなと; on: コウ) <br> harbor
[sound:s8-1024_彼にはその仕事をこなす力量がある。.mp3]	<b>(力量)</b> <br> 彼にはその仕事をこなす力量がある。<br> かれにはそのしごとをこなすりょくりょうがある。 <br> He has the ability to handle the job.			
<b>(力量)</b> <br> 彼にはその仕事をこなす力量がある。	[sound:s8-1024_彼にはその仕事をこなす力量がある。.mp3] <br> かれにはそのしごとをこなすりょくりょうがある。 <br> He has the ability to handle the job.			
[sound:k8-1025_港.mp3]	港 <br> みなと <br> harbour, harbor, port
harbour, harbor, port	港 <br> みなと <br> [sound:k8-1025_港.mp3]
港	[sound:k8-1025_港.mp3] <br> みなと <br> harbour, harbor, port
[sound:s8-1025_彼は多量の情報を処理できる。.mp3]	<b>(多量)</b> <br> 彼は多量の情報を処理できる。<br> かれはたりょうのじょうほうをしょりできる。 <br> He can process large amounts of information.			
<b>(多量)</b> <br> 彼は多量の情報を処理できる。	[sound:s8-1025_彼は多量の情報を処理できる。.mp3] <br> かれはたりょうのじょうほうをしょりできる。 <br> He can process large amounts of information.			
[sound:k8-1026_空港.mp3]	空港 <br> くうこう <br> airport
airport	空港 <br> くうこう <br> [sound:k8-1026_空港.mp3]
空港	[sound:k8-1026_空港.mp3] <br> くうこう <br> airport
[sound:s8-1026_彼の願いが叶いますように。.mp3]	<b>(望)</b> <br> 彼の願いが叶いますように。<br> かれのねがいがかないますように。 <br> May his wish come true.			
<b>(望)</b> <br> 彼の願いが叶いますように。	[sound:s8-1026_彼の願いが叶いますように。.mp3] <br> かれのねがいがかないますように。 <br> May his wish come true.			
[sound:k8-1027_香港.mp3]	香港 <br> ほんこん, ホンコン <br> Hong Kong (China)
Hong Kong (China)	香港 <br> ほんこん, ホンコン <br> [sound:k8-1027_香港.mp3]
香港	[sound:k8-1027_香港.mp3] <br> ほんこん, ホンコン <br> Hong Kong (China)
[sound:s8-1027_私は彼の成功を心から希望しています。.mp3]	<b>(希望)</b> <br> 私は彼の成功を心から希望しています。<br> わたしはかれのせいこうをこころからきぼうしています。 <br> I sincerely hope for his success.			
<b>(希望)</b> <br> 私は彼の成功を心から希望しています。	[sound:s8-1027_私は彼の成功を心から希望しています。.mp3] <br> わたしはかれのせいこうをこころからきぼうしています。 <br> I sincerely hope for his success.			
[sound:k8-1028_港湾.mp3]	港湾 <br> こうわん <br> harbours, harbors
harbours, harbors	港湾 <br> こうわん <br> [sound:k8-1028_港湾.mp3]
港湾	[sound:k8-1028_港湾.mp3] <br> こうわん <br> harbours, harbors
[sound:s8-1028_彼の要望を受け入れることは難しいかもしれない。.mp3]	<b>(要望)</b> <br> 彼の要望を受け入れることは難しいかもしれない。<br> かれのようぼうをうけいれることはむずかしいかもしれない。 <br> It may be difficult to accept his request.			
<b>(要望)</b> <br> 彼の要望を受け入れることは難しいかもしれない。	[sound:s8-1028_彼の要望を受け入れることは難しいかもしれない。.mp3] <br> かれのようぼうをうけいれることはむずかしいかもしれない。 <br> It may be difficult to accept his request.			
[sound:k8-1029_開港.mp3]	開港 <br> かいこう <br> open port, opening a port
open port, opening a port	開港 <br> かいこう <br> [sound:k8-1029_開港.mp3]
開港	[sound:k8-1029_開港.mp3] <br> かいこう <br> open port, opening a port
[sound:s8-1029_彼の将来の展望は明るい。.mp3]	<b>(展望)</b> <br> 彼の将来の展望は明るい。<br> かれのしょうらいのてんぼうはあかるい。 <br> His future prospects are bright.			
<b>(展望)</b> <br> 彼の将来の展望は明るい。	[sound:s8-1029_彼の将来の展望は明るい。.mp3] <br> かれのしょうらいのてんぼうはあかるい。 <br> His future prospects are bright.			
[sound:k8-1030_寄港.mp3]	寄港 <br> きこう <br> stopping at a port
stopping at a port	寄港 <br> きこう <br> [sound:k8-1030_寄港.mp3]
寄港	[sound:k8-1030_寄港.mp3] <br> きこう <br> stopping at a port
[sound:s8-1030_私の願いが叶いますように。.mp3]	<b>(望み)</b> <br> 私の願いが叶いますように。<br> わたしのねがいがかないますように。 <br> May my wish come true.			
<b>(望み)</b> <br> 私の願いが叶いますように。	[sound:s8-1030_私の願いが叶いますように。.mp3] <br> わたしのねがいがかないますように。 <br> May my wish come true.			
[sound:k8-1031_漁港.mp3]	漁港 <br> ぎょこう <br> fishing harbour, fishing harbor
fishing harbour, fishing harbor	漁港 <br> ぎょこう <br> [sound:k8-1031_漁港.mp3]
漁港	[sound:k8-1031_漁港.mp3] <br> ぎょこう <br> fishing harbour, fishing harbor
[sound:s8-1031_彼女は幸せな未来を望んでいます。.mp3]	<b>(望む)</b> <br> 彼女は幸せな未来を望んでいます。<br> かのじょはしあわせなみらいをのぞんでいます。 <br> She hopes for a happy future.			
<b>(望む)</b> <br> 彼女は幸せな未来を望んでいます。	[sound:s8-1031_彼女は幸せな未来を望んでいます。.mp3] <br> かのじょはしあわせなみらいをのぞんでいます。 <br> She hopes for a happy future.			
[sound:k8-1032_入港.mp3]	入港 <br> にゅうこう <br> entry into port
entry into port	入港 <br> にゅうこう <br> [sound:k8-1032_入港.mp3]
入港	[sound:k8-1032_入港.mp3] <br> にゅうこう <br> entry into port
[sound:s8-1032_彼は絶望のどん底にいる。.mp3]	<b>(絶望)</b> <br> 彼は絶望のどん底にいる。<br> かれはぜつぼうのどんそこにいる。 <br> He is at the depths of despair.			
<b>(絶望)</b> <br> 彼は絶望のどん底にいる。	[sound:s8-1032_彼は絶望のどん底にいる。.mp3] <br> かれはぜつぼうのどんそこにいる。 <br> He is at the depths of despair.			
[sound:k8-1033_港内.mp3]	港内 <br> こうない <br> inside the harbour, inside the harbor
inside the harbour, inside the harbor	港内 <br> こうない <br> [sound:k8-1033_港内.mp3]
港内	[sound:k8-1033_港内.mp3] <br> こうない <br> inside the harbour, inside the harbor
[sound:s8-1033_彼は医者志望です。.mp3]	<b>(志望)</b> <br> 彼は医者志望です。<br> かれはいしゃしぼうです。 <br> He aspires to be a doctor.			
<b>(志望)</b> <br> 彼は医者志望です。	[sound:s8-1033_彼は医者志望です。.mp3] <br> かれはいしゃしぼうです。 <br> He aspires to be a doctor.			
[sound:k8-1034_出港.mp3]	出港 <br> しゅっこう <br> departure, clearance (of a ship)
departure, clearance (of a ship)	出港 <br> しゅっこう <br> [sound:k8-1034_出港.mp3]
出港	[sound:k8-1034_出港.mp3] <br> しゅっこう <br> departure, clearance (of a ship)
[sound:s8-1034_彼女の行動には失望した。.mp3]	<b>(失望)</b> <br> 彼女の行動には失望した。<br> かのじょのこうどうにはしつぼうした。 <br> I was disappointed by her actions.			
<b>(失望)</b> <br> 彼女の行動には失望した。	[sound:s8-1034_彼女の行動には失望した。.mp3] <br> かのじょのこうどうにはしつぼうした。 <br> I was disappointed by her actions.			
