[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
[sound:s8-5856_彼は振り返って私に微笑んだ。.mp3]	<b>(振り返る)</b> <br> 彼は振り返って私に微笑んだ。<br> かれはふりかえってわたしにほほえんだ。 <br> He turned around and smiled at me.			
<b>(振り返る)</b> <br> 彼は振り返って私に微笑んだ。	[sound:s8-5856_彼は振り返って私に微笑んだ。.mp3] <br> かれはふりかえってわたしにほほえんだ。 <br> He turned around and smiled at me.			
[sound:k8-5857_死因.mp3]	死因 <br> しいん <br> cause of death
cause of death	死因 <br> しいん <br> [sound:k8-5857_死因.mp3]
死因	[sound:k8-5857_死因.mp3] <br> しいん <br> cause of death
[sound:s8-5857_予定が変更されて振替日が決まりました。.mp3]	<b>(振替)</b> <br> 予定が変更されて振替日が決まりました。<br> よていがへんこうされてふりかえびがきまりました。 <br> The schedule changed, and the alternate date has been decided.			
<b>(振替)</b> <br> 予定が変更されて振替日が決まりました。	[sound:s8-5857_予定が変更されて振替日が決まりました。.mp3] <br> よていがへんこうされてふりかえびがきまりました。 <br> The schedule changed, and the alternate date has been decided.			
[sound:k8-5858_一因.mp3]	一因 <br> いちいん <br> cause
cause	一因 <br> いちいん <br> [sound:k8-5858_一因.mp3]
一因	[sound:k8-5858_一因.mp3] <br> いちいん <br> cause
[sound:s8-5858_彼は問題を振り回すのが得意です。.mp3]	<b>(振り回す)</b> <br> 彼は問題を振り回すのが得意です。<br> かれはもんだいをふりまわすのがとくいです。 <br> He's good at stirring up trouble.			
<b>(振り回す)</b> <br> 彼は問題を振り回すのが得意です。	[sound:s8-5858_彼は問題を振り回すのが得意です。.mp3] <br> かれはもんだいをふりまわすのがとくいです。 <br> He's good at stirring up trouble.			
[sound:k8-5859_因果.mp3]	因果 <br> いんが <br> cause and effect, karma, fate
cause and effect, karma, fate	因果 <br> いんが <br> [sound:k8-5859_因果.mp3]
因果	[sound:k8-5859_因果.mp3] <br> いんが <br> cause and effect, karma, fate
[sound:s8-5859_振り込み手数料がかかりますか？.mp3]	<b>(振り込み)</b> <br> 振り込み手数料がかかりますか？<br> ふりこみてすうりょうがかかりますか？ <br> Is there a fee for bank transfer?			
<b>(振り込み)</b> <br> 振り込み手数料がかかりますか？	[sound:s8-5859_振り込み手数料がかかりますか？.mp3] <br> ふりこみてすうりょうがかかりますか？ <br> Is there a fee for bank transfer?			
[sound:k8-5860_敗因.mp3]	敗因 <br> はいいん <br> cause of defeat
cause of defeat	敗因 <br> はいいん <br> [sound:k8-5860_敗因.mp3]
敗因	[sound:k8-5860_敗因.mp3] <br> はいいん <br> cause of defeat
[sound:s8-5860_毎月給料を受け取ります。.mp3]	<b>(給)</b> <br> 毎月給料を受け取ります。<br> まいつききゅうりょうをうけとります。 <br> I receive my salary every month.			
<b>(給)</b> <br> 毎月給料を受け取ります。	[sound:s8-5860_毎月給料を受け取ります。.mp3] <br> まいつききゅうりょうをうけとります。 <br> I receive my salary every month.			
[sound:k8-5861_主因.mp3]	主因 <br> しゅいん <br> primary cause, main factor
primary cause, main factor	主因 <br> しゅいん <br> [sound:k8-5861_主因.mp3]
主因	[sound:k8-5861_主因.mp3] <br> しゅいん <br> primary cause, main factor
[sound:s8-5861_市場には需要と供給のバランスが必要です。.mp3]	<b>(供給)</b> <br> 市場には需要と供給のバランスが必要です。<br> しじょうにはじゅようときょうきゅうのバランスがひつようです。 <br> The market needs a balance between supply and demand.			
<b>(供給)</b> <br> 市場には需要と供給のバランスが必要です。	[sound:s8-5861_市場には需要と供給のバランスが必要です。.mp3] <br> しじょうにはじゅようときょうきゅうのバランスがひつようです。 <br> The market needs a balance between supply and demand.			
[sound:k8-5862_因子.mp3]	因子 <br> いんし <br> factor, divisor, element
factor, divisor, element	因子 <br> いんし <br> [sound:k8-5862_因子.mp3]
因子	[sound:k8-5862_因子.mp3] <br> いんし <br> factor, divisor, element
[sound:s8-5862_新しい仕事で高い給与を得ることができました。.mp3]	<b>(給与)</b> <br> 新しい仕事で高い給与を得ることができました。<br> あたらしいしごとでたかいきゅうよをえることができました。 <br> I was able to earn a high salary in my new job.			
<b>(給与)</b> <br> 新しい仕事で高い給与を得ることができました。	[sound:s8-5862_新しい仕事で高い給与を得ることができました。.mp3] <br> あたらしいしごとでたかいきゅうよをえることができました。 <br> I was able to earn a high salary in my new job.			
[sound:k8-5863_因縁.mp3]	因縁 <br> いんねん, いんえん <br> hetu and prataya (direct causes and indirect conditions, which underlie the actions of all things); fate, destiny; connection, origin; pretext
hetu and prataya (direct causes and indirect conditions, which underlie the actions of all things); fate, destiny; connection, origin; pretext	因縁 <br> いんねん, いんえん <br> [sound:k8-5863_因縁.mp3]
因縁	[sound:k8-5863_因縁.mp3] <br> いんねん, いんえん <br> hetu and prataya (direct causes and indirect conditions, which underlie the actions of all things); fate, destiny; connection, origin; pretext
[sound:s8-5863_手当は毎月支給されます。.mp3]	<b>(支給)</b> <br> 手当は毎月支給されます。<br> てあてはまいつきしきゅうされます。 <br> Allowances are paid out monthly.			
<b>(支給)</b> <br> 手当は毎月支給されます。	[sound:s8-5863_手当は毎月支給されます。.mp3] <br> てあてはまいつきしきゅうされます。 <br> Allowances are paid out monthly.			
[sound:k8-5864_献.mp3]	献 <br> (kun: たてまつ.る; on: ケン, コン) <br> offering, counter for drinks, present, offer
offering, counter for drinks, present, offer	献 <br> (kun: たてまつ.る; on: ケン, コン) <br> [sound:k8-5864_献.mp3]
献	[sound:k8-5864_献.mp3] <br> (kun: たてまつ.る; on: ケン, コン) <br> offering, counter for drinks, present, offer
[sound:s8-5864_子供たちは学校で給食を食べます。.mp3]	<b>(給食)</b> <br> 子供たちは学校で給食を食べます。<br> こどもたちはがっこうできゅうしょくをたべます。 <br> Children eat school lunches at school.			
<b>(給食)</b> <br> 子供たちは学校で給食を食べます。	[sound:s8-5864_子供たちは学校で給食を食べます。.mp3] <br> こどもたちはがっこうできゅうしょくをたべます。 <br> Children eat school lunches at school.			
[sound:k8-5865_献金.mp3]	献金 <br> けんきん <br> donation, contribution, offering
donation, contribution, offering	献金 <br> けんきん <br> [sound:k8-5865_献金.mp3]
献金	[sound:k8-5865_献金.mp3] <br> けんきん <br> donation, contribution, offering
[sound:s8-5865_この仕事の給料は良いですか？.mp3]	<b>(給料)</b> <br> この仕事の給料は良いですか？<br> このしごとのきゅうりょうはいいですか？ <br> Is the salary for this job good?			
<b>(給料)</b> <br> この仕事の給料は良いですか？	[sound:s8-5865_この仕事の給料は良いですか？.mp3] <br> このしごとのきゅうりょうはいいですか？ <br> Is the salary for this job good?			
[sound:k8-5866_貢献.mp3]	貢献 <br> こうけん <br> contribution, services
contribution, services	貢献 <br> こうけん <br> [sound:k8-5866_貢献.mp3]
貢献	[sound:k8-5866_貢献.mp3] <br> こうけん <br> contribution, services
[sound:s8-5866_市場の需給バランスを調整する必要があります。.mp3]	<b>(需給)</b> <br> 市場の需給バランスを調整する必要があります。<br> しじょうのじゅきゅうバランスをちょうせいするひつようがあります。 <br> We need to adjust the supply and demand balance in the market.			
<b>(需給)</b> <br> 市場の需給バランスを調整する必要があります。	[sound:s8-5866_市場の需給バランスを調整する必要があります。.mp3] <br> しじょうのじゅきゅうバランスをちょうせいするひつようがあります。 <br> We need to adjust the supply and demand balance in the market.			
[sound:k8-5867_文献.mp3]	文献 <br> ぶんけん <br> literature, books (reference), document
literature, books (reference), document	文献 <br> ぶんけん <br> [sound:k8-5867_文献.mp3]
文献	[sound:k8-5867_文献.mp3] <br> ぶんけん <br> literature, books (reference), document
[sound:s8-5867_社会保険給付を受ける資格があります。.mp3]	<b>(給付)</b> <br> 社会保険給付を受ける資格があります。<br> しゃかいほけんきゅうふをうけるしかくがあります。 <br> You are eligible to receive social insurance benefits.			
<b>(給付)</b> <br> 社会保険給付を受ける資格があります。	[sound:s8-5867_社会保険給付を受ける資格があります。.mp3] <br> しゃかいほけんきゅうふをうけるしかくがあります。 <br> You are eligible to receive social insurance benefits.			
[sound:k8-5868_献血.mp3]	献血 <br> けんけつ <br> blood donation
blood donation	献血 <br> けんけつ <br> [sound:k8-5868_献血.mp3]
献血	[sound:k8-5868_献血.mp3] <br> けんけつ <br> blood donation
[sound:s8-5868_戦時中、食料は配給されました。.mp3]	<b>(配給)</b> <br> 戦時中、食料は配給されました。<br> せんじちゅう、しょくりょうははいきゅうされました。 <br> During the war, food was rationed.			
<b>(配給)</b> <br> 戦時中、食料は配給されました。	[sound:s8-5868_戦時中、食料は配給されました。.mp3] <br> せんじちゅう、しょくりょうははいきゅうされました。 <br> During the war, food was rationed.			
[sound:k8-5869_献花.mp3]	献花 <br> けんか <br> flower offering
flower offering	献花 <br> けんか <br> [sound:k8-5869_献花.mp3]
献花	[sound:k8-5869_献花.mp3] <br> けんか <br> flower offering
[sound:s8-5869_旅行中に水を補給する必要があります。.mp3]	<b>(補給)</b> <br> 旅行中に水を補給する必要があります。<br> りょこうちゅうにみずをほきゅうするひつようがあります。 <br> You need to replenish water while traveling.			
<b>(補給)</b> <br> 旅行中に水を補給する必要があります。	[sound:s8-5869_旅行中に水を補給する必要があります。.mp3] <br> りょこうちゅうにみずをほきゅうするひつようがあります。 <br> You need to replenish water while traveling.			
[sound:k8-5870_献立.mp3]	献立 <br> こんだて <br> menu, program, programme, schedule
menu, program, programme, schedule	献立 <br> こんだて <br> [sound:k8-5870_献立.mp3]
献立	[sound:k8-5870_献立.mp3] <br> こんだて <br> menu, program, programme, schedule
[sound:s8-5870_野菜を自給自足で育てています。.mp3]	<b>(自給)</b> <br> 野菜を自給自足で育てています。<br> やさいをじきゅうじそくでそだてています。 <br> I grow vegetables for self-sufficiency.			
<b>(自給)</b> <br> 野菜を自給自足で育てています。	[sound:s8-5870_野菜を自給自足で育てています。.mp3] <br> やさいをじきゅうじそくでそだてています。 <br> I grow vegetables for self-sufficiency.			
[sound:k8-5871_献上.mp3]	献上 <br> けんじょう <br> presenting to
presenting to	献上 <br> けんじょう <br> [sound:k8-5871_献上.mp3]
献上	[sound:k8-5871_献上.mp3] <br> けんじょう <br> presenting to
[sound:s8-5871_この屋根は修理が必要です。.mp3]	<b>(屋)</b> <br> この屋根は修理が必要です。<br> このやねはしゅうりがひつようです。 <br> This roof needs repairs.			
<b>(屋)</b> <br> この屋根は修理が必要です。	[sound:s8-5871_この屋根は修理が必要です。.mp3] <br> このやねはしゅうりがひつようです。 <br> This roof needs repairs.			
[sound:k8-5872_献身.mp3]	献身 <br> けんしん <br> dedication, devotion
dedication, devotion	献身 <br> けんしん <br> [sound:k8-5872_献身.mp3]
献身	[sound:k8-5872_献身.mp3] <br> けんしん <br> dedication, devotion
[sound:s8-5872_新しい家にはたくさんの部屋があります。.mp3]	<b>(部屋)</b> <br> 新しい家にはたくさんの部屋があります。<br> あたらしいいえにはたくさんのへやがあります。 <br> The new house has many rooms.			
<b>(部屋)</b> <br> 新しい家にはたくさんの部屋があります。	[sound:s8-5872_新しい家にはたくさんの部屋があります。.mp3] <br> あたらしいいえにはたくさんのへやがあります。 <br> The new house has many rooms.			
[sound:k8-5873_献身的.mp3]	献身的 <br> けんしんてき <br> devoted
devoted	献身的 <br> けんしんてき <br> [sound:k8-5873_献身的.mp3]
献身的	[sound:k8-5873_献身的.mp3] <br> けんしんてき <br> devoted
[sound:s8-5873_雨が降ってきたので屋根を修理する必要があります。.mp3]	<b>(屋根)</b> <br> 雨が降ってきたので屋根を修理する必要があります。<br> あめがふってきたのでやねをしゅうりするひつようがあります。 <br> Since it's raining, we need to repair the roof.			
