[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
[sound:s8-3832_この施設の周辺には多くのレストランがあります。.mp3]	<b>(周辺)</b> <br> この施設の周辺には多くのレストランがあります。<br> このしせつのしゅうへんにはおおくのれすとらんがあります。 <br> There are many restaurants around this facility.			
<b>(周辺)</b> <br> この施設の周辺には多くのレストランがあります。	[sound:s8-3832_この施設の周辺には多くのレストランがあります。.mp3] <br> このしせつのしゅうへんにはおおくのれすとらんがあります。 <br> There are many restaurants around this facility.			
[sound:k8-3833_個人的.mp3]	個人的 <br> こじんてき <br> individualistic, personal, self-centred, self-centered
individualistic, personal, self-centred, self-centered	個人的 <br> こじんてき <br> [sound:k8-3833_個人的.mp3]
個人的	[sound:k8-3833_個人的.mp3] <br> こじんてき <br> individualistic, personal, self-centred, self-centered
[sound:s8-3833_彼の意見は一辺倒ではありません。.mp3]	<b>(一辺倒)</b> <br> 彼の意見は一辺倒ではありません。<br> かれのいけんはいっぺんとうではありません。 <br> His opinion is not one-sided.			
<b>(一辺倒)</b> <br> 彼の意見は一辺倒ではありません。	[sound:s8-3833_彼の意見は一辺倒ではありません。.mp3] <br> かれのいけんはいっぺんとうではありません。 <br> His opinion is not one-sided.			
[sound:k8-3834_個々.mp3]	個々 <br> ここ <br> individual, one by one, separate
individual, one by one, separate	個々 <br> ここ <br> [sound:k8-3834_個々.mp3]
個々	[sound:k8-3834_個々.mp3] <br> ここ <br> individual, one by one, separate
[sound:s8-3834_辺りに誰もいないようです。.mp3]	<b>(辺り)</b> <br> 辺りに誰もいないようです。<br> あたりにだれもいないようです。 <br> It seems like nobody is around.			
<b>(辺り)</b> <br> 辺りに誰もいないようです。	[sound:s8-3834_辺りに誰もいないようです。.mp3] <br> あたりにだれもいないようです。 <br> It seems like nobody is around.			
[sound:k8-3835_個展.mp3]	個展 <br> こてん <br> one-man exhibition, one-woman exhibition
one-man exhibition, one-woman exhibition	個展 <br> こてん <br> [sound:k8-3835_個展.mp3]
個展	[sound:k8-3835_個展.mp3] <br> こてん <br> one-man exhibition, one-woman exhibition
[sound:s8-3835_夏休みに海辺で泳ぐのが好きです。.mp3]	<b>(海辺)</b> <br> 夏休みに海辺で泳ぐのが好きです。<br> なつやすみにうみべでおよぐのがすきです。 <br> I like swimming at the beach during summer vacation.			
<b>(海辺)</b> <br> 夏休みに海辺で泳ぐのが好きです。	[sound:s8-3835_夏休みに海辺で泳ぐのが好きです。.mp3] <br> なつやすみにうみべでおよぐのがすきです。 <br> I like swimming at the beach during summer vacation.			
[sound:k8-3836_一個.mp3]	一個 <br> いっこ <br> piece, fragment, one (object)
piece, fragment, one (object)	一個 <br> いっこ <br> [sound:k8-3836_一個.mp3]
一個	[sound:k8-3836_一個.mp3] <br> いっこ <br> piece, fragment, one (object)
[sound:s8-3836_彼の身辺には多くの変化がありました。.mp3]	<b>(身辺)</b> <br> 彼の身辺には多くの変化がありました。<br> かれのしんぺんにはおおくのへんかがありました。 <br> There have been many changes in his personal life.			
<b>(身辺)</b> <br> 彼の身辺には多くの変化がありました。	[sound:s8-3836_彼の身辺には多くの変化がありました。.mp3] <br> かれのしんぺんにはおおくのへんかがありました。 <br> There have been many changes in his personal life.			
[sound:k8-3837_別個.mp3]	別個 <br> べっこ <br> another, different, separate, discrete
another, different, separate, discrete	別個 <br> べっこ <br> [sound:k8-3837_別個.mp3]
別個	[sound:k8-3837_別個.mp3] <br> べっこ <br> another, different, separate, discrete
[sound:s8-3837_彼女は社会の底辺から這い上がった。.mp3]	<b>(底辺)</b> <br> 彼女は社会の底辺から這い上がった。<br> かのじょはしゃかいのていへんからはいあがった。 <br> She climbed up from the bottom of society.			
<b>(底辺)</b> <br> 彼女は社会の底辺から這い上がった。	[sound:s8-3837_彼女は社会の底辺から這い上がった。.mp3] <br> かのじょはしゃかいのていへんからはいあがった。 <br> She climbed up from the bottom of society.			
[sound:k8-3838_個所.mp3]	個所 <br> かしょ <br> passage, place, point, part
passage, place, point, part	個所 <br> かしょ <br> [sound:k8-3838_個所.mp3]
個所	[sound:k8-3838_個所.mp3] <br> かしょ <br> passage, place, point, part
[sound:s8-3838_水辺でのピクニックはとても楽しいです。.mp3]	<b>(水辺)</b> <br> 水辺でのピクニックはとても楽しいです。<br> みずべでのピクニックはとてもたのしいです。 <br> Picnicking by the water is very enjoyable.			
<b>(水辺)</b> <br> 水辺でのピクニックはとても楽しいです。	[sound:s8-3838_水辺でのピクニックはとても楽しいです。.mp3] <br> みずべでのピクニックはとてもたのしいです。 <br> Picnicking by the water is very enjoyable.			
[sound:k8-3839_個室.mp3]	個室 <br> こしつ <br> private room
private room	個室 <br> こしつ <br> [sound:k8-3839_個室.mp3]
個室	[sound:k8-3839_個室.mp3] <br> こしつ <br> private room
[sound:s8-3839_日暮れ時に浜辺を散歩するのが好きです。.mp3]	<b>(浜辺)</b> <br> 日暮れ時に浜辺を散歩するのが好きです。<br> ひぐれどきにはまべをさんぽするのがすきです。 <br> I like to take walks on the beach at dusk.			
<b>(浜辺)</b> <br> 日暮れ時に浜辺を散歩するのが好きです。	[sound:s8-3839_日暮れ時に浜辺を散歩するのが好きです。.mp3] <br> ひぐれどきにはまべをさんぽするのがすきです。 <br> I like to take walks on the beach at dusk.			
[sound:k8-3840_門.mp3]	門 <br> (kun: かど, と; on: モン) <br> gate, counter for cannons
gate, counter for cannons	門 <br> (kun: かど, と; on: モン) <br> [sound:k8-3840_門.mp3]
門	[sound:k8-3840_門.mp3] <br> (kun: かど, と; on: モン) <br> gate, counter for cannons
[sound:s8-3840_彼は辺境での生活に慣れています。.mp3]	<b>(辺境)</b> <br> 彼は辺境での生活に慣れています。<br> かれはへんきょうでのせいかつになれています。 <br> He is accustomed to life in the borderlands.			
<b>(辺境)</b> <br> 彼は辺境での生活に慣れています。	[sound:s8-3840_彼は辺境での生活に慣れています。.mp3] <br> かれはへんきょうでのせいかつになれています。 <br> He is accustomed to life in the borderlands.			
[sound:k8-3841_門.mp3]	門 <br> かど, もん <br> gate; branch of learning based on the teachings of a single master; (biological) division; counter for cannons
gate; branch of learning based on the teachings of a single master; (biological) division; counter for cannons	門 <br> かど, もん <br> [sound:k8-3841_門.mp3]
門	[sound:k8-3841_門.mp3] <br> かど, もん <br> gate; branch of learning based on the teachings of a single master; (biological) division; counter for cannons
[sound:s8-3841_彼は新しい家を造る計画を立てています。.mp3]	<b>(造)</b> <br> 彼は新しい家を造る計画を立てています。<br> かれはあたらしいいえをつくるけいかくをたてています。 <br> He is planning to build a new house.			
<b>(造)</b> <br> 彼は新しい家を造る計画を立てています。	[sound:s8-3841_彼は新しい家を造る計画を立てています。.mp3] <br> かれはあたらしいいえをつくるけいかくをたてています。 <br> He is planning to build a new house.			
[sound:k8-3842_部門.mp3]	部門 <br> ぶもん <br> class, group, category, department, field, branch
class, group, category, department, field, branch	部門 <br> ぶもん <br> [sound:k8-3842_部門.mp3]
部門	[sound:k8-3842_部門.mp3] <br> ぶもん <br> class, group, category, department, field, branch
[sound:s8-3842_この建物の構造は非常に堅固です。.mp3]	<b>(構造)</b> <br> この建物の構造は非常に堅固です。<br> このたてもののこうぞうはひじょうにけんごです。 <br> The structure of this building is very sturdy.			
<b>(構造)</b> <br> この建物の構造は非常に堅固です。	[sound:s8-3842_この建物の構造は非常に堅固です。.mp3] <br> このたてもののこうぞうはひじょうにけんごです。 <br> The structure of this building is very sturdy.			
[sound:k8-3843_専門.mp3]	専門 <br> せんもん <br> speciality, specialty, subject of study, expert
speciality, specialty, subject of study, expert	専門 <br> せんもん <br> [sound:k8-3843_専門.mp3]
専門	[sound:k8-3843_専門.mp3] <br> せんもん <br> speciality, specialty, subject of study, expert
[sound:s8-3843_この工場では自動車を製造しています。.mp3]	<b>(製造)</b> <br> この工場では自動車を製造しています。<br> このこうじょうではじどうしゃをせいぞうしています。 <br> This factory manufactures automobiles.			
<b>(製造)</b> <br> この工場では自動車を製造しています。	[sound:s8-3843_この工場では自動車を製造しています。.mp3] <br> このこうじょうではじどうしゃをせいぞうしています。 <br> This factory manufactures automobiles.			
[sound:k8-3844_専門家.mp3]	専門家 <br> せんもんか <br> specialist
specialist	専門家 <br> せんもんか <br> [sound:k8-3844_専門家.mp3]
専門家	[sound:k8-3844_専門家.mp3] <br> せんもんか <br> specialist
[sound:s8-3844_古い家を改造してモダンなデザインにしました。.mp3]	<b>(改造)</b> <br> 古い家を改造してモダンなデザインにしました。<br> ふるいいえをかいぞうしてモダンなデザインにしました。 <br> We renovated the old house into a modern design.			
<b>(改造)</b> <br> 古い家を改造してモダンなデザインにしました。	[sound:s8-3844_古い家を改造してモダンなデザインにしました。.mp3] <br> ふるいいえをかいぞうしてモダンなデザインにしました。 <br> We renovated the old house into a modern design.			
[sound:k8-3845_専門学校.mp3]	専門学校 <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> vocational school, technical school
vocational school, technical school	専門学校 <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> [sound:k8-3845_専門学校.mp3]
専門学校	[sound:k8-3845_専門学校.mp3] <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> vocational school, technical school
[sound:s8-3845_彼は偽札を偽造したとして逮捕されました。.mp3]	<b>(偽造)</b> <br> 彼は偽札を偽造したとして逮捕されました。<br> かれはにせさつをぎぞうしたとしてたいほされました。 <br> He was arrested for counterfeiting money.			
<b>(偽造)</b> <br> 彼は偽札を偽造したとして逮捕されました。	[sound:s8-3845_彼は偽札を偽造したとして逮捕されました。.mp3] <br> かれはにせさつをぎぞうしたとしてたいほされました。 <br> He was arrested for counterfeiting money.			
[sound:k8-3846_名門.mp3]	名門 <br> めいもん <br> noted family, noble family
noted family, noble family	名門 <br> めいもん <br> [sound:k8-3846_名門.mp3]
名門	[sound:k8-3846_名門.mp3] <br> めいもん <br> noted family, noble family
[sound:s8-3846_その家は木造で建てられています。.mp3]	<b>(木造)</b> <br> その家は木造で建てられています。<br> そのいえはもくぞうでたてられています。 <br> The house is built of wood.			
<b>(木造)</b> <br> その家は木造で建てられています。	[sound:s8-3846_その家は木造で建てられています。.mp3] <br> そのいえはもくぞうでたてられています。 <br> The house is built of wood.			
